restock,policy,seed,deliveries,moves,conflicts,avg_wait
20,nearest,1045,29,896,178,44.96774193548387
20,nearest,1046,30,904,156,35.61290322580645
20,nearest,1047,31,918,169,48.94117647058823
20,nearest,1048,24,815,225,49.0
20,nearest,1049,24,820,217,56.5
20,nearest,1050,2,106,759,12.0
20,nearest,1051,32,927,162,43.76470588235294
20,nearest,1052,2,106,759,12.0
20,nearest,1053,2,98,770,12.0
20,nearest,1054,35,964,127,39.22222222222222
20,nearest,1055,33,968,125,48.73529411764706
20,nearest,1056,30,904,172,44.78125
20,nearest,1057,26,833,205,42.607142857142854
20,nearest,1058,25,760,283,33.48148148148148
20,nearest,1059,2,98,770,12.0
20,nearest,1060,31,910,171,38.333333333333336
20,nearest,1061,28,877,177,40.55172413793103
20,nearest,1062,35,1006,106,35.72222222222222
20,nearest,1063,2,98,770,12.0
20,nearest,1064,17,524,454,35.1578947368421
20,nearest,1065,32,947,152,38.411764705882355
20,nearest,1066,31,934,156,40.26470588235294
20,nearest,1067,2,98,770,12.0
20,nearest,1068,26,882,181,45.96551724137931
20,nearest,1069,25,791,257,42.0
20,nearest,1070,24,798,259,51.84615384615385
20,nearest,1071,28,915,157,39.354838709677416
